project_name,name,code,is_active
Subway,SBWY,SBWY,TRUE
Sulzer_Service_Desk,SLZR,SLZR,TRUE
Swagelok,SWAG,SWAG,TRUE
Tagsys_RFID,TAGS,TAGS,TRUE
Terumo,TER_,TER_,TRUE
Town_Sports_International,TOWN,TOWN,TRUE
TRW_Automotive,TRWA,TRWA,TRUE
TRW_Global,TRW_,TRW_,TRUE
TTSD,TTSD,TTSD,TRUE
TTX_Americas,TTXA,TTXA,TRUE
Tudor_Reilly_Health,TRH_,TRH_,TRUE
Vallourec,VALL,VALL,TRUE
Vallourec_NA,VALL,VALL,TRUE
Visteon,VIST,VIST,TRUE
Worldspan_Brussels,WSP_,WSP_,TRUE
Worldspan_Bucharest,WSP_,WSP_,TRUE
Worldspan_EMEA,WSP_,WSP_,TRUE
Worldspan_LATAM,WSP_,WSP_,TRUE
